id,feature_class,feature_code,name,description
364,S,MALL,mall,"A large, often enclosed shopping complex containing various stores, businesses, and restaurants usually accessible by common passageways."
365,S,MAR,marina,"a harbor facility for small boats, yachts, etc."
366,S,MFG,factory,"one or more buildings where goods are manufactured, processed or fabricated"
367,S,MFGB,brewery,one or more buildings where beer is brewed
368,S,MFGC,cannery,a building where food items are canned
369,S,MFGCU,copper works,a facility for processing copper ore
370,S,MFGLM,limekiln,a furnace in which limestone is reduced to lime
371,S,MFGM,munitions plant,a factory where ammunition is made
372,S,MFGPH,phosphate works,a facility for producing fertilizer
373,S,MFGQ,abandoned factory,
374,S,MFGSG,sugar refinery,a facility for converting raw sugar into refined sugar
375,S,MKT,market,a place where goods are bought and sold at regular intervals
376,S,ML,mill(s),"a building housing machines for transforming, shaping, finishing, grinding, or extracting products"
377,S,MLM,ore treatment plant,a facility for improving the metal content of ore by concentration
378,S,MLO,olive oil mill,a mill where oil is extracted from olives
379,S,MLSG,sugar mill,a facility where sugar cane is processed into raw sugar
380,S,MLSGQ,former sugar mill,a sugar mill no longer used as a sugar mill
381,S,MLSW,sawmill,a mill where logs or lumber are sawn to specified shapes and sizes
382,S,MLWND,windmill,a mill or water pump powered by wind
383,S,MLWTR,water mill,a mill powered by running water
384,S,MN,mine(s),a site where mineral ores are extracted from the ground by excavating surface pits and subterranean passages
385,S,MNAU,gold mine(s),"a mine where gold ore, or alluvial gold is extracted"
386,S,MNC,coal mine(s),a mine where coal is extracted
387,S,MNCR,chrome mine(s),a mine where chrome ore is extracted
388,S,MNCU,copper mine(s),a mine where copper ore is extracted
389,S,MNFE,iron mine(s),a mine where iron ore is extracted
390,S,MNMT,monument,a commemorative structure or statue
391,S,MNN,salt mine(s),a mine from which salt is extracted
392,S,MNQ,abandoned mine,
393,S,MNQR,quarry(-ies),"a surface mine where building stone or gravel and sand, etc. are extracted"
394,S,MOLE,mole,a massive structure of masonry or large stones serving as a pier or breakwater
395,S,MSQE,mosque,a building for public Islamic worship
